Date,Other_service_activities,"Arts,_entertainment_and_recreation",Homan_health_and_social_work_activities,Education,"Local,_public_and_defence__administration_and_social_security,_and_Extraterritorial_organizations_and_bodies",Administrative_and_support_service_activities,"Professional,_scientific_and_technical_activities",Real_estate_activities,Financial_and_insurance_activities,Information_and_communication,Accomodation_and_food_service_activities,"Transportation,_storage,_postal_and_courier_activities",wholesale_and_retail_trade_and_repair_of_motor_vehicles,Construction,"Electricity_and_water_supply,_sewerage_and_waste_management",Manufacturing,Mining_and_quarrying,"Agriculture,_forestry_and_fishing",Total_Economy
"January, 2022","6,265","6,645","8,765","8,799","16,321","6,875","16,674","13,483","21,813","26,303","5,188","11,903","9,898","11,209","20,334","16,648","27,150","8,228","11,804"
"February, 2022","6,280","6,445","8,891","8,988","16,588","6,834","16,808","13,369","20,572","26,968","5,094","11,950","9,961","11,140","20,588","16,770","31,656","8,266","11,882"
"March, 2022","6,176","6,947","8,840","9,024","16,438","6,878","16,553","13,699","21,375","26,802","5,349","12,518","10,124","11,224","20,353","16,903","28,767","8,328","11,982"
"April, 2022","6,188","7,038","8,796","8,945","16,414","6,895","16,480","13,486","25,272","27,141","5,669","12,180","9,916","11,235","19,778","16,673","26,426","8,185","12,058"
"May, 2022","6,218","7,014","8,889","9,026","16,505","6,755","16,667","13,195","21,258","27,806","5,906","12,167","10,089","11,284","20,093","17,005","28,223","8,296","12,095"
"June, 2022","6,209","7,150","8,891","8,926","16,751","6,918","16,753","13,353","20,633","27,670","5,852","12,351","10,097","11,224","20,291","16,780","26,907","8,329","12,084"
"July, 2022","6,245","7,197","8,894","8,957","16,752","6,966","16,885","13,438","19,899","27,069","6,055","12,362","10,073","11,404","20,167","17,009","30,272","8,320","12,112"
"August, 2022","6,305","7,108","8,905","9,032","16,674","7,029","16,765","13,548","20,524","28,048","6,009","12,519","10,178","11,431","20,612","17,062","30,043","8,418","12,225"
"September, 2022","6,148","6,833","8,904","9,221","16,694","7,090","17,011","13,485","20,375","27,770","5,771","13,241","10,422","11,583","20,748","17,153","28,896","8,506","12,278"
"October, 2022","6,342","6,931","9,050","9,033","16,889","7,159","17,269","13,654","20,824","27,926","5,809","12,733","10,321","11,513","20,005","17,409","28,061","8,607","12,310"
"November, 2022","6,484","6,686","9,001","9,214","16,770","7,134","17,108","13,701","21,043","27,684","5,625","12,815","10,343","11,617","20,153","17,388","29,922","8,529","12,277"
"December, 2022","6,464","6,846","8,947","9,155","17,049","7,346","16,884","13,507","20,139","27,849","5,298","12,928","10,184","11,593","20,418","17,318","27,360","8,617","12,188"
"January, 2023","6,621","6,950","9,099","10,343","16,786","7,309","17,661","13,985","20,225","28,288","5,478","13,461","10,426","11,865","20,465","17,464","28,779","8,598","12,511"
"February, 2023","6,512","6,759","9,015","9,465","17,447","7,352","16,794","13,834","21,159","28,270","5,301","12,926","10,337","11,766","20,603","17,408","29,438","8,703","12,316"
"March, 2023","6,629","7,604","9,638","9,981","19,576","7,468","17,346","14,086","21,819","28,332","5,780","14,565","10,375","11,903","23,849","17,969","39,619","8,633","12,859"
"April, 2023","6,476","7,582","9,362","9,573","18,184","7,640","17,649","13,969","24,410","28,688","6,716","13,081","10,515","11,730","21,138","17,999","28,552","8,824","12,842"
"May, 2023","6,505","7,514","9,224","9,637","17,826","7,458","17,680","14,102","22,473","29,107","6,110","13,459","10,454","12,091","21,310","17,853","33,023","8,772","12,763"
"June, 2023","6,468","7,506","9,165","9,578","17,355","7,534","17,993","13,866","21,240","29,007","6,212","13,396","10,551","12,081","21,332","18,506","31,648","8,788","12,804"
,,,,,,,,,,,,,,,,,,,
