sphere,percentage_2023,,,
"
Agriculture, forestry and fishing",1.2,,,
"
Mining and quarrying",0.1,,,
"
Manufacturing",8.7,,,
"Electricity and water supply, sewerage and waste management",0.8,,,
construction,5.1,,,
Wholesale and retail trade and repair of motor vehicles,12.6,,,
"Transportation, storage, postal and courier activities",3.7,,,
Accommodation and food service activities,6.2,,,
Information and communications,6.2,,,
Financial and insurance activities,2.8,,,
Real estate activities,0.8,,,
"Professional, scientific and technical activities",6.8,,,
Administrative and support service activities,6.8,,,
"Local, public and defence administration and social security, and extraterritorial organizations and bodies",3.6,,,
Education,15.1,,,
Human health and social work activities,14.1,,,
"Arts, entertainment and recreation",1.9,,,
Other service activities,3.5,,,
,,,,
