,,,,,,,,,,,,
date,excluding_hightech,scientific_research_and_development,information_service_activities,computer_programing_consultancy_and_related_services,telecomunication,manufacture_of_motor_vehicles_and_other_transport_equipment,"manufacturing_ofcomputers,_electronic_and_optical_products",manufacturing_of_pharmaceuitical_products,,,,
"January, 2022","10,078","28,309","21,996","29,204","17,480","20,863","25,697","18,530",,,,
"February, 2022","10,067","40,854","26,449","30,452","16,869","20,371","26,082","18,526",,,,
"March, 2022","10,791","31,381","22,829","31,351","21,181","22,747","28,921","31,055",,,,
"April, 2022","10,340","29,609","25,561","29,165","17,921","20,179","27,391","20,327",,,,
"May, 2022","10,066","29,856","23,694","28,699","15,575","21,840","24,962","19,505",,,,
"June, 2022","10,945","28,501","23,548","29,225","18,266","21,626","24,589","21,074",,,,
"July, 2022","10,456","28,367","30,960","28,850","17,346","22,964","25,617","21,670",,,,
"August, 2022","10,464","28,484","25,358","29,723","16,396","26,162","25,468","21,836",,,,
"September, 2022","10,517","28,940","24,073","30,248","17,656","20,816","24,555","20,639",,,,
"October, 2022","10,068","30,530","22,870","28,549","16,047","20,312","25,890","19,933",,,,
"November, 2022","10,201","29,462","25,837","28,093","16,681","21,233","24,599","20,498",,,,
"December, 2022","10,740","32,552","24,398","31,157","17,475","24,316","25,528","21,318",,,,
"January, 2023","10,678","29,492","24,124","31,450","17,182","21,855","25,744","20,668",,,,
"February, 2023","10,460","36,710","29,924","31,836","16,388","21,387","26,468","20,676",,,,
"March, 2023","11,682","32,282","27,234","32,993","24,101","22,753","30,695","35,424",,,,
"April, 2023","10,750","30,764","26,485","30,605","18,171","21,239","31,298","20,763",,,,
"May, 2023","10,611","31,580","26,309","29,850","16,265","22,795","25,638","20,556",,,,
"June, 2023","11,507","31,772","26,699","30,587","19,414","21,901","29,521","22,883",,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
